Seed,Team,Winner,Year
1,Ohio State,1,2011
16,UTSA,0,2011
8,George Mason,1,2011
9,Villanova,0,2011
5,West Virginia,1,2011
12,Clemson,0,2011
4,Kentucky,1,2011
13,Princeton,0,2011
6,Xavier,0,2011
11,Marquette,1,2011
3,Syracuse,1,2011
14,Indiana St,0,2011
7,Washington,1,2011
10,Georgia,0,2011
2,North Carolina,1,2011
15,Long Island,0,2011
1,Duke,1,2011
16,Hampton,0,2011
8,Michigan,1,2011
9,Tennessee,0,2011
5,Arizona,1,2011
12,Memphis,0,2011
4,Texas,1,2011
13,Oakland,0,2011
6,Cincinnati,1,2011
11,Missouri,0,2011
3,UConn,1,2011
14,Bucknell,0,2011
7,Temple,1,2011
10,Penn State,0,2011
2,San Diego St,1,2011
15,N Colorado,0,2011
1,Kansas,1,2011
16,Boston U,0,2011
8,UNLV,0,2011
9,Illinois,1,2011
5,Vanderbilt,0,2011
12,Richmond,1,2011
4,Louisville,0,2011
13,Morehead St,1,2011
6,Georgetown,0,2011
11,VCU,1,2011
3,Purdue,1,2011
14,Saint Peter's,0,2011
7,Texas A&M,0,2011
10,Florida St,1,2011
2,Notre Dame,1,2011
15,Akron,0,2011
1,Pitt,1,2011
16,UNC Asheville,0,2011
8,Butler,1,2011
9,Old Dominion,0,2011
5,Kansas St,1,2011
12,Utah State,0,2011
4,Wisconsin,1,2011
13,Belmont,0,2011
6,St John's,0,2011
11,Gonzaga,1,2011
3,BYU,1,2011
14,Wofford,0,2011
7,UCLA,1,2011
10,Michigan St,0,2011
2,Florida,1,2011
15,Santa Barbara,0,2011
1,Ohio State,1,2011
8,George Mason,0,2011
5,West Virginia,0,2011
4,Kentucky,1,2011
11,Marquette,1,2011
3,Syracuse,0,2011
7,Washington,0,2011
2,North Carolina,1,2011
1,Duke,1,2011
8,Michigan,0,2011
5,Arizona,1,2011
4,Texas,0,2011
6,Cincinnati,0,2011
3,UConn,1,2011
7,Temple,0,2011
2,San Diego St,1,2011
1,Kansas,1,2011
9,Illinois,0,2011
12,Richmond,1,2011
13,Morehead St,0,2011
11,VCU,1,2011
3,Purdue,0,2011
10,Florida St,1,2011
2,Notre Dame,0,2011
1,Pitt,0,2011
8,Butler,1,2011
5,Kansas St,0,2011
4,Wisconsin,1,2011
11,Gonzaga,0,2011
3,BYU,1,2011
7,UCLA,0,2011
2,Florida,1,2011
1,Ohio State,0,2011
4,Kentucky,1,2011
11,Marquette,0,2011
2,North Carolina,1,2011
1,Duke,0,2011
5,Arizona,1,2011
3,UConn,1,2011
2,San Diego St,0,2011
1,Kansas,1,2011
12,Richmond,0,2011
11,VCU,1,2011
10,Florida St,0,2011
8,Butler,1,2011
4,Wisconsin,0,2011
3,BYU,0,2011
2,Florida,1,2011
4,Kentucky,1,2011
2,North Carolina,0,2011
5,Arizona,0,2011
3,UConn,1,2011
1,Kansas,0,2011
11,VCU,1,2011
8,Butler,1,2011
2,Florida,0,2011
4,Kentucky,0,2011
3,UConn,1,2011
11,VCU,0,2011
8,Butler,1,2011
3,UConn,1,2011
8,Butler,0,2011
3,UConn,,2011
1,Kentucky,1,2012
16,Western KY,0,2012
8,Iowa State,1,2012
9,UConn,0,2012
5,Wichita St,0,2012
12,VCU,1,2012
4,Indiana,1,2012
13,New Mexico St,0,2012
6,UNLV,0,2012
11,Colorado,1,2012
3,Baylor,1,2012
14,S Dakota St,0,2012
7,Notre Dame,0,2012
10,Xavier,1,2012
2,Duke,0,2012
15,Lehigh,1,2012
1,Michigan St,1,2012
16,Long Island,0,2012
8,Memphis,0,2012
9,Saint Louis,1,2012
5,New Mexico,1,2012
12,Long Beach St,0,2012
4,Louisville,1,2012
13,Davidson,0,2012
6,Murray St,1,2012
11,Colorado St,0,2012
3,Marquette,1,2012
14,BYU,0,2012
7,Florida,1,2012
10,Virginia,0,2012
2,Missouri,0,2012
15,Norfolk St,1,2012
1,Syracuse,1,2012
16,UNC Asheville,0,2012
8,Kansas St,1,2012
9,Southern Miss,0,2012
5,Vanderbilt,1,2012
12,Harvard,0,2012
4,Wisconsin,1,2012
13,Montana,0,2012
6,Cincinnati,1,2012
11,Texas,0,2012
3,Florida St,1,2012
14,St Bonaventure,0,2012
7,Gonzaga,1,2012
10,West Virginia,0,2012
2,Ohio State,1,2012
15,Loyola MD,0,2012
1,North Carolina,1,2012
16,Vermont,0,2012
8,Creighton,1,2012
9,Alabama,0,2012
5,Temple,0,2012
12,South Florida,1,2012
4,Michigan,0,2012
13,Ohio,1,2012
6,San Diego St,0,2012
11,NC State,1,2012
3,Georgetown,1,2012
14,Belmont,0,2012
7,Saint Mary's,0,2012
10,Purdue,1,2012
2,Kansas,1,2012
15,Detroit Mercy,0,2012
1,Kentucky,1,2012
8,Iowa State,0,2012
12,VCU,0,2012
4,Indiana,1,2012
11,Colorado,0,2012
3,Baylor,1,2012
10,Xavier,1,2012
15,Lehigh,0,2012
1,Michigan St,1,2012
9,Saint Louis,0,2012
5,New Mexico,0,2012
4,Louisville,1,2012
6,Murray St,0,2012
3,Marquette,1,2012
7,Florida,1,2012
15,Norfolk St,0,2012
1,Syracuse,1,2012
8,Kansas St,0,2012
5,Vanderbilt,0,2012
4,Wisconsin,1,2012
6,Cincinnati,1,2012
3,Florida St,0,2012
7,Gonzaga,0,2012
2,Ohio State,1,2012
1,North Carolina,1,2012
8,Creighton,0,2012
12,South Florida,0,2012
13,Ohio,1,2012
11,NC State,1,2012
3,Georgetown,0,2012
10,Purdue,0,2012
2,Kansas,1,2012
1,Kentucky,1,2012
4,Indiana,0,2012
3,Baylor,1,2012
10,Xavier,0,2012
1,Michigan St,0,2012
4,Louisville,1,2012
3,Marquette,0,2012
7,Florida,1,2012
1,Syracuse,1,2012
4,Wisconsin,0,2012
6,Cincinnati,0,2012
2,Ohio State,1,2012
1,North Carolina,1,2012
13,Ohio,0,2012
11,NC State,0,2012
2,Kansas,1,2012
1,Kentucky,1,2012
3,Baylor,0,2012
4,Louisville,1,2012
7,Florida,0,2012
1,Syracuse,0,2012
2,Ohio State,1,2012
1,North Carolina,0,2012
2,Kansas,1,2012
1,Kentucky,1,2012
4,Louisville,0,2012
2,Ohio State,0,2012
2,Kansas,1,2012
1,Kentucky,1,2012
2,Kansas,0,2012
1,Kentucky,,2012
1,Louisville,1,2013
16,NC A&T,0,2013
8,Colorado St,1,2013
9,Missouri,0,2013
5,Oklahoma St,0,2013
12,Oregon,1,2013
4,Saint Louis,1,2013
13,New Mexico St,0,2013
6,Memphis,1,2013
11,Saint Mary's,0,2013
3,Michigan St,1,2013
14,Valparaiso,0,2013
7,Creighton,1,2013
10,Cincinnati,0,2013
2,Duke,1,2013
15,UAlbany,0,2013
1,Gonzaga,1,2013
16,Southern,0,2013
8,Pitt,0,2013
9,Wichita St,1,2013
5,Wisconsin,0,2013
12,Ole Miss,1,2013
4,Kansas St,0,2013
13,La Salle,1,2013
6,Arizona,1,2013
11,Belmont,0,2013
3,New Mexico,0,2013
14,Harvard,1,2013
7,Notre Dame,0,2013
10,Iowa State,1,2013
2,Ohio State,1,2013
15,Iona,0,2013
1,Kansas,1,2013
16,Western KY,0,2013
8,North Carolina,1,2013
9,Villanova,0,2013
5,VCU,1,2013
12,Akron,0,2013
4,Michigan,1,2013
13,S Dakota St,0,2013
6,UCLA,0,2013
11,Minnesota,1,2013
3,Florida,1,2013
14,N'Western St,0,2013
7,San Diego St,1,2013
10,Oklahoma,0,2013
2,Georgetown,0,2013
15,FGCU,1,2013
1,Indiana,1,2013
16,James Madison,0,2013
8,NC State,0,2013
9,Temple,1,2013
5,UNLV,0,2013
12,California,1,2013
4,Syracuse,1,2013
13,Montana,0,2013
6,Butler,1,2013
11,Bucknell,0,2013
3,Marquette,1,2013
14,Davidson,0,2013
7,Illinois,1,2013
10,Colorado,0,2013
2,Miami,1,2013
15,Pacific,0,2013
1,Louisville,1,2013
8,Colorado St,0,2013
12,Oregon,1,2013
4,Saint Louis,0,2013
6,Memphis,0,2013
3,Michigan St,1,2013
7,Creighton,0,2013
2,Duke,1,2013
1,Gonzaga,0,2013
9,Wichita St,1,2013
12,Ole Miss,0,2013
13,La Salle,1,2013
6,Arizona,1,2013
14,Harvard,0,2013
10,Iowa State,0,2013
2,Ohio State,1,2013
1,Kansas,1,2013
8,North Carolina,0,2013
5,VCU,0,2013
4,Michigan,1,2013
11,Minnesota,0,2013
3,Florida,1,2013
7,San Diego St,0,2013
15,FGCU,1,2013
1,Indiana,1,2013
9,Temple,0,2013
12,California,0,2013
4,Syracuse,1,2013
6,Butler,0,2013
3,Marquette,1,2013
7,Illinois,0,2013
2,Miami,1,2013
1,Louisville,1,2013
12,Oregon,0,2013
3,Michigan St,0,2013
2,Duke,1,2013
9,Wichita St,1,2013
13,La Salle,0,2013
6,Arizona,0,2013
2,Ohio State,1,2013
1,Kansas,0,2013
4,Michigan,1,2013
3,Florida,1,2013
15,FGCU,0,2013
1,Indiana,0,2013
4,Syracuse,1,2013
3,Marquette,1,2013
2,Miami,0,2013
1,Louisville,1,2013
2,Duke,0,2013
9,Wichita St,1,2013
2,Ohio State,0,2013
4,Michigan,1,2013
3,Florida,0,2013
4,Syracuse,1,2013
3,Marquette,0,2013
1,Louisville,1,2013
9,Wichita St,0,2013
4,Michigan,1,2013
4,Syracuse,0,2013
1,Louisville,1,2013
4,Michigan,0,2013
1,Louisville,,2013
1,Florida,1,2014
16,UAlbany,0,2014
8,Colorado,0,2014
9,Pitt,1,2014
5,VCU,0,2014
12,SF Austin,1,2014
4,UCLA,1,2014
13,Tulsa,0,2014
6,Ohio State,0,2014
11,Dayton,1,2014
3,Syracuse,1,2014
14,W Michigan,0,2014
7,New Mexico,0,2014
10,Stanford,1,2014
2,Kansas,1,2014
15,E Kentucky,0,2014
1,Virginia,1,2014
16,Coastal Car,0,2014
8,Memphis,1,2014
9,G Washington,0,2014
5,Cincinnati,0,2014
12,Harvard,1,2014
4,Michigan St,1,2014
13,Delaware,0,2014
6,North Carolina,1,2014
11,Providence,0,2014
3,Iowa State,1,2014
14,NC Central,0,2014
7,UConn,1,2014
10,Saint Joseph's,0,2014
2,Villanova,1,2014
15,Milwaukee,0,2014
1,Arizona,1,2014
16,Weber St,0,2014
8,Gonzaga,1,2014
9,Oklahoma St,0,2014
5,Oklahoma,0,2014
12,N Dakota St,1,2014
4,San Diego St,1,2014
13,New Mexico St,0,2014
6,Baylor,1,2014
11,Nebraska,0,2014
3,Creighton,1,2014
14,Louisiana,0,2014
7,Oregon,1,2014
10,BYU,0,2014
2,Wisconsin,1,2014
15,American,0,2014
1,Wichita St,1,2014
16,Cal Poly,0,2014
8,Kentucky,1,2014
9,Kansas St,0,2014
5,Saint Louis,1,2014
12,NC State,0,2014
4,Louisville,1,2014
13,Manhattan,0,2014
6,UMass,0,2014
11,Tennessee,1,2014
3,Duke,0,2014
14,Mercer,1,2014
7,Texas,1,2014
10,Arizona St,0,2014
2,Michigan,1,2014
15,Wofford,0,2014
1,Florida,1,2014
9,Pitt,0,2014
12,SF Austin,0,2014
4,UCLA,1,2014
11,Dayton,1,2014
3,Syracuse,0,2014
10,Stanford,1,2014
2,Kansas,0,2014
1,Virginia,1,2014
8,Memphis,0,2014
12,Harvard,0,2014
4,Michigan St,1,2014
6,North Carolina,0,2014
3,Iowa State,1,2014
7,UConn,1,2014
2,Villanova,0,2014
1,Arizona,1,2014
8,Gonzaga,0,2014
12,N Dakota St,0,2014
4,San Diego St,1,2014
6,Baylor,1,2014
3,Creighton,0,2014
7,Oregon,0,2014
2,Wisconsin,1,2014
1,Wichita St,0,2014
8,Kentucky,1,2014
5,Saint Louis,0,2014
4,Louisville,1,2014
11,Tennessee,1,2014
14,Mercer,0,2014
7,Texas,0,2014
2,Michigan,1,2014
1,Florida,1,2014
4,UCLA,0,2014
11,Dayton,1,2014
10,Stanford,0,2014
1,Virginia,0,2014
4,Michigan St,1,2014
3,Iowa State,0,2014
7,UConn,1,2014
1,Arizona,1,2014
4,San Diego St,0,2014
6,Baylor,0,2014
2,Wisconsin,1,2014
8,Kentucky,1,2014
4,Louisville,0,2014
11,Tennessee,0,2014
2,Michigan,1,2014
1,Florida,1,2014
11,Dayton,0,2014
4,Michigan St,0,2014
7,UConn,1,2014
1,Arizona,0,2014
2,Wisconsin,1,2014
8,Kentucky,1,2014
2,Michigan,0,2014
1,Florida,0,2014
7,UConn,1,2014
2,Wisconsin,0,2014
8,Kentucky,1,2014
7,UConn,1,2014
8,Kentucky,0,2014
7,UConn,,2014
1,Kentucky,1,2015
16,Hampton,0,2015
8,Cincinnati,1,2015
9,Purdue,0,2015
5,West Virginia,1,2015
12,Buffalo,0,2015
4,Maryland,1,2015
13,Valparaiso,0,2015
6,Butler,1,2015
11,Texas,0,2015
3,Notre Dame,1,2015
14,Northeastern,0,2015
7,Wichita St,1,2015
10,Indiana,0,2015
2,Kansas,1,2015
15,New Mexico St,0,2015
1,Wisconsin,1,2015
16,Coastal Car,0,2015
8,Oregon,1,2015
9,Oklahoma St,0,2015
5,Arkansas,1,2015
12,Wofford,0,2015
4,North Carolina,1,2015
13,Harvard,0,2015
6,Xavier,1,2015
11,Ole Miss,0,2015
3,Baylor,0,2015
14,Georgia St,1,2015
7,VCU,0,2015
10,Ohio State,1,2015
2,Arizona,1,2015
15,Texas Southern,0,2015
1,Villanova,1,2015
16,Lafayette,0,2015
8,NC State,1,2015
9,LSU,0,2015
5,Northern Iowa,1,2015
12,Wyoming,0,2015
4,Louisville,1,2015
13,UC Irvine,0,2015
6,Providence,0,2015
11,Dayton,1,2015
3,Oklahoma,1,2015
14,UAlbany,0,2015
7,Michigan St,1,2015
10,Georgia,0,2015
2,Virginia,1,2015
15,Belmont,0,2015
1,Duke,1,2015
16,Robert Morris,0,2015
8,San Diego St,1,2015
9,St John's,0,2015
5,Utah,1,2015
12,SF Austin,0,2015
4,Georgetown,1,2015
13,E Washington,0,2015
6,SMU,0,2015
11,UCLA,1,2015
3,Iowa State,0,2015
14,UAB,1,2015
7,Iowa,1,2015
10,Davidson,0,2015
2,Gonzaga,1,2015
15,N Dakota St,0,2015
1,Kentucky,1,2015
8,Cincinnati,0,2015
5,West Virginia,1,2015
4,Maryland,0,2015
6,Butler,0,2015
3,Notre Dame,1,2015
7,Wichita St,1,2015
2,Kansas,0,2015
1,Wisconsin,1,2015
8,Oregon,0,2015
5,Arkansas,0,2015
4,North Carolina,1,2015
6,Xavier,1,2015
14,Georgia St,0,2015
10,Ohio State,0,2015
2,Arizona,1,2015
1,Villanova,0,2015
8,NC State,1,2015
5,Northern Iowa,0,2015
4,Louisville,1,2015
11,Dayton,0,2015
3,Oklahoma,1,2015
7,Michigan St,1,2015
2,Virginia,0,2015
1,Duke,1,2015
8,San Diego St,0,2015
5,Utah,1,2015
4,Georgetown,0,2015
11,UCLA,1,2015
14,UAB,0,2015
7,Iowa,0,2015
2,Gonzaga,1,2015
1,Kentucky,1,2015
5,West Virginia,0,2015
3,Notre Dame,1,2015
7,Wichita St,0,2015
1,Wisconsin,1,2015
4,North Carolina,0,2015
6,Xavier,0,2015
2,Arizona,1,2015
8,NC State,0,2015
4,Louisville,1,2015
3,Oklahoma,0,2015
7,Michigan St,1,2015
1,Duke,1,2015
5,Utah,0,2015
11,UCLA,0,2015
2,Gonzaga,1,2015
1,Kentucky,1,2015
3,Notre Dame,0,2015
1,Wisconsin,1,2015
2,Arizona,0,2015
4,Louisville,0,2015
7,Michigan St,1,2015
1,Duke,1,2015
2,Gonzaga,0,2015
1,Kentucky,0,2015
1,Wisconsin,1,2015
7,Michigan St,0,2015
1,Duke,1,2015
1,Wisconsin,0,2015
1,Duke,1,2015
1,Duke,,2015
1,Kansas,1,2016
16,Austin Peay,0,2016
8,Colorado,0,2016
9,UConn,1,2016
5,Maryland,1,2016
12,S Dakota St,0,2016
4,California,0,2016
13,Hawai'i,1,2016
6,Arizona,0,2016
11,Wichita St,1,2016
3,Miami,1,2016
14,Buffalo,0,2016
7,Iowa,1,2016
10,Temple,0,2016
2,Villanova,1,2016
15,UNC Asheville,0,2016
1,Oregon,1,2016
16,Holy Cross,0,2016
8,Saint Joseph's,1,2016
9,Cincinnati,0,2016
5,Baylor,0,2016
12,Yale,1,2016
4,Duke,1,2016
13,UNC Wilmington,0,2016
6,Texas,0,2016
11,Northern Iowa,1,2016
3,Texas A&M,1,2016
14,Green Bay,0,2016
7,Oregon St,0,2016
10,VCU,1,2016
2,Oklahoma,1,2016
15,Bakersfield,0,2016
1,North Carolina,1,2016
16,FGCU,0,2016
8,USC,0,2016
9,Providence,1,2016
5,Indiana,1,2016
12,Chattanooga,0,2016
4,Kentucky,1,2016
13,Stony Brook,0,2016
6,Notre Dame,1,2016
11,Michigan,0,2016
3,West Virginia,0,2016
14,SF Austin,1,2016
7,Wisconsin,1,2016
10,Pitt,0,2016
2,Xavier,1,2016
15,Weber St,0,2016
1,Virginia,1,2016
16,Hampton,0,2016
8,Texas Tech,0,2016
9,Butler,1,2016
5,Purdue,0,2016
12,Little Rock,1,2016
4,Iowa State,1,2016
13,Iona,0,2016
6,Seton Hall,0,2016
11,Gonzaga,1,2016
3,Utah,1,2016
14,Fresno St,0,2016
7,Dayton,0,2016
10,Syracuse,1,2016
2,Michigan St,0,2016
15,MTSU,1,2016
1,Kansas,1,2016
9,UConn,0,2016
5,Maryland,1,2016
13,Hawai'i,0,2016
11,Wichita St,0,2016
3,Miami,1,2016
7,Iowa,0,2016
2,Villanova,1,2016
1,Oregon,1,2016
8,Saint Joseph's,0,2016
12,Yale,0,2016
4,Duke,1,2016
11,Northern Iowa,0,2016
3,Texas A&M,1,2016
10,VCU,0,2016
2,Oklahoma,1,2016
1,North Carolina,1,2016
9,Providence,0,2016
5,Indiana,1,2016
4,Kentucky,0,2016
6,Notre Dame,1,2016
14,SF Austin,0,2016
7,Wisconsin,1,2016
2,Xavier,0,2016
1,Virginia,1,2016
9,Butler,0,2016
12,Little Rock,0,2016
4,Iowa State,1,2016
11,Gonzaga,1,2016
3,Utah,0,2016
10,Syracuse,1,2016
15,MTSU,0,2016
1,Kansas,1,2016
5,Maryland,0,2016
3,Miami,0,2016
2,Villanova,1,2016
1,Oregon,1,2016
4,Duke,0,2016
3,Texas A&M,0,2016
2,Oklahoma,1,2016
1,North Carolina,1,2016
5,Indiana,0,2016
6,Notre Dame,1,2016
7,Wisconsin,0,2016
1,Virginia,1,2016
4,Iowa State,0,2016
11,Gonzaga,0,2016
10,Syracuse,1,2016
1,Kansas,0,2016
2,Villanova,1,2016
1,Oregon,0,2016
2,Oklahoma,1,2016
1,North Carolina,1,2016
6,Notre Dame,0,2016
1,Virginia,0,2016
10,Syracuse,1,2016
2,Villanova,1,2016
2,Oklahoma,0,2016
1,North Carolina,1,2016
10,Syracuse,0,2016
2,Villanova,1,2016
1,North Carolina,0,2016
2,Villanova,,2016
1,Villanova,1,2017
16,Mount St Marys,0,2017
8,Wisconsin,1,2017
9,Virginia Tech,0,2017
5,Virginia,1,2017
12,UNC Wilmington,0,2017
4,Florida,1,2017
13,ETSU,0,2017
6,SMU,0,2017
11,USC,1,2017
3,Baylor,1,2017
14,New Mexico St,0,2017
7,South Carolina,1,2017
10,Marquette,0,2017
2,Duke,1,2017
15,Troy,0,2017
1,Gonzaga,1,2017
16,S Dakota St,0,2017
8,Northwestern,1,2017
9,Vanderbilt,0,2017
5,Notre Dame,1,2017
12,Princeton,0,2017
4,West Virginia,1,2017
13,Bucknell,0,2017
6,Maryland,0,2017
11,Xavier,1,2017
3,Florida St,1,2017
14,FGCU,0,2017
7,Saint Mary's,1,2017
10,VCU,0,2017
2,Arizona,1,2017
15,North Dakota,0,2017
1,Kansas,1,2017
16,UC Davis,0,2017
8,Miami,0,2017
9,Michigan St,1,2017
5,Iowa State,1,2017
12,Nevada,0,2017
4,Purdue,1,2017
13,Vermont,0,2017
6,Creighton,0,2017
11,Rhode Island,1,2017
3,Oregon,1,2017
14,Iona,0,2017
7,Michigan,1,2017
10,Oklahoma St,0,2017
2,Louisville,1,2017
15,Jax State,0,2017
1,North Carolina,1,2017
16,Texas Southern,0,2017
8,Arkansas,1,2017
9,Seton Hall,0,2017
5,Minnesota,0,2017
12,MTSU,1,2017
4,Butler,1,2017
13,Winthrop,0,2017
6,Cincinnati,1,2017
11,Kansas St,0,2017
3,UCLA,1,2017
14,Kent State,0,2017
7,Dayton,0,2017
