Years,Wins,Qual,SOS,TApp,Year,id
22.0,544.0,17.208,9.159,19.0,2017,127
2.0,151.0,9.257,1.708,2.0,2017,66
2.0,52.0,6.67,1.91,0.0,2017,2440
12.0,290.0,13.58,7.395,9.0,2017,2509
6.0,139.0,1.958,-4.622,1.0,2017,261
7.0,315.0,8.425,5.174,6.0,2017,156
5.0,125.0,4.209,1.406,0.0,2017,227
7.0,162.0,4.824,-1.564,3.0,2017,314
10.0,508.0,8.408,4.72,10.0,2017,130
1.0,109.0,10.462,-1.052,3.0,2017,197
16.0,770.0,15.944,6.023,20.0,2017,97
1.0,109.0,-1.297,-1.087,2.0,2017,55
3.0,81.0,5.902,6.024,1.0,2017,154
5.0,413.0,12.223,7.023,10.0,2017,2306
5.0,336.0,5.429,2.293,7.0,2017,2640
6.0,328.0,12.128,5.578,7.0,2017,8
7.0,173.0,6.141,4.416,1.0,2017,2550
4.0,93.0,7.492,5.83,0.0,2017,135
15.0,378.0,1.597,-1.142,4.0,2017,2393
3.0,114.0,5.07,2.163,2.0,2017,2086
5.0,102.0,-3.796,-6.03,0.0,2017,2737
11.0,306.0,10.04,4.194,8.0,2017,2132
4.0,481.0,11.9,6.143,9.0,2017,26
6.0,122.0,0.788,-1.292,0.0,2017,2309
6.0,139.0,10.617,4.502,3.0,2017,2168
10.0,455.0,5.821,-1.641,12.0,2017,2724
8.0,694.0,16.563,5.986,17.0,2017,96
2.0,34.0,1.16,1.52,0.0,2017,94
1.0,18.0,-2.3,-0.66,0.0,2017,2571
4.0,73.0,8.753,7.08,0.0,2017,77
1.0,143.0,6.443,1.233,2.0,2017,238
17.0,481.0,10.927,4.469,13.0,2017,87
6.0,119.0,3.525,-1.92,0.0,2017,163
10.0,747.0,14.708,5.447,22.0,2017,277
2.0,43.0,1.9,-4.185,0.0,2017,2083
6.0,388.0,7.466,4.055,7.0,2017,120
8.0,186.0,13.256,7.388,6.0,2017,2752
15.0,504.0,9.285,7.259,7.0,2017,52
4.0,148.0,-1.229,-3.399,1.0,2017,526
16.0,362.0,8.919,1.909,5.0,2017,2608
2.0,91.0,3.235,-0.96,1.0,2017,2670
8.0,340.0,15.411,5.915,9.0,2017,12
7.0,116.0,-7.68,-5.48,0.0,2017,155
17.0,544.0,10.903,4.517,14.0,2018,222
15.0,654.0,16.27,6.781,19.0,2018,2305
7.0,226.0,0.891,0.496,0.0,2018,2350
11.0,541.0,8.816,4.901,11.0,2018,130
9.0,288.0,15.515,7.382,7.0,2018,258
9.0,215.0,13.901,7.614,7.0,2018,2752
1.0,173.0,1.932,2.353,1.0,2018,112358
7.0,116.0,-7.841,-5.224,0.0,2018,2515
11.0,274.0,-1.344,-1.616,1.0,2018,179
5.0,502.0,11.908,6.174,10.0,2018,26
4.0,227.0,10.605,6.33,6.0,2018,259
3.0,57.0,10.257,8.91,0.0,2018,333
11.0,773.0,14.865,5.566,23.0,2018,277
3.0,59.0,0.743,-3.667,0.0,2018,93
11.0,480.0,6.358,-1.285,13.0,2018,2724
4.0,73.0,-0.308,-0.283,0.0,2018,276
3.0,170.0,10.68,3.496,1.0,2018,57
2.0,75.0,13.537,5.233,1.0,2018,2641
2.0,46.0,-2.175,-6.11,0.0,2018,2617
7.0,351.0,12.292,5.845,8.0,2018,8
1.0,32.0,4.775,4.19,0.0,2018,2086
13.0,320.0,14.282,7.491,10.0,2018,2509
5.0,67.0,-5.852,-2.164,0.0,2018,2239
42.0,1027.0,15.436,6.925,32.0,2018,183
3.0,92.0,7.636,4.418,1.0,2018,9
3.0,248.0,-2.516,-1.454,3.0,2018,219
8.0,195.0,7.007,4.934,2.0,2018,2550
1.0,93.0,6.172,1.145,2.0,2018,152
8.0,316.0,7.486,3.028,4.0,2018,228
1.0,49.0,5.995,-1.175,0.0,2018,166
4.0,301.0,10.377,5.971,8.0,2018,2
4.0,77.0,0.24,-1.175,0.0,2018,232
2.0,373.0,15.981,7.685,11.0,2018,2628
23.0,574.0,17.434,9.07,20.0,2018,127
3.0,68.0,2.763,-3.943,1.0,2018,2083
6.0,151.0,5.159,1.806,1.0,2018,227
7.0,619.0,10.51,7.094,17.0,2018,201
38.0,1100.0,18.271,7.798,33.0,2018,150
8.0,182.0,4.315,-1.642,4.0,2018,314
2.0,54.0,-1.367,-3.12,0.0,2018,2378
8.0,336.0,8.891,5.346,7.0,2018,156
6.0,438.0,12.254,7.109,11.0,2018,2306
9.0,720.0,16.589,6.169,18.0,2018,96
29.0,554.0,0.945,-2.114,8.0,2018,2166
9.0,367.0,15.429,5.981,10.0,2018,12
3.0,64.0,3.417,0.047,1.0,2018,2084
7.0,603.0,4.916,1.591,8.0,2018,2390
3.0,661.0,14.506,7.867,22.0,2018,2633
2.0,212.0,0.906,-2.812,3.0,2018,2750
3.0,81.0,9.26,2.917,1.0,2018,2440
3.0,213.0,12.404,6.179,6.0,2018,251
12.0,337.0,10.721,4.149,9.0,2018,2132
7.0,368.0,-0.79,-2.677,2.0,2018,2247
6.0,352.0,4.709,1.858,8.0,2018,2640
8.0,164.0,-5.762,-9.151,2.0,2018,2428
1.0,206.0,9.528,5.469,2.0,2018,142
16.0,527.0,9.501,7.301,8.0,2018,52
1.0,139.0,6.87,3.143,3.0,2018,194
2.0,46.0,2.27,-0.52,1.0,2018,2571
19.0,535.0,15.902,3.597,18.0,2018,2250
7.0,112.0,-5.849,-3.921,0.0,2018,2430
4.0,508.0,12.144,5.844,14.0,2018,248
1.0,22.0,12.23,3.91,0.0,2018,21
4.0,83.0,0.288,-3.582,0.0,2018,149
7.0,348.0,-0.597,-1.586,3.0,2018,245
7.0,236.0,5.311,3.568,4.0,2018,2507
15.0,842.0,21.425,9.43,27.0,2018,153
5.0,108.0,-6.447,-3.876,0.0,2018,288
10.0,323.0,16.28,7.595,8.0,2019,258
5.0,331.0,11.075,6.301,9.0,2019,2
24.0,606.0,17.747,9.206,21.0,2019,127
3.0,106.0,15.85,6.307,2.0,2019,2641
39.0,1132.0,18.467,7.893,34.0,2019,150
20.0,568.0,16.496,3.668,19.0,2019,2250
16.0,871.0,21.506,9.492,28.0,2019,153
9.0,182.0,-6.403,-9.383,3.0,2019,2428
5.0,96.0,-1.966,-2.58,1.0,2019,2449
13.0,580.0,4.92,0.258,16.0,2019,218
20.0,415.0,1.061,-3.319,7.0,2019,2057
2.0,90.0,0.872,-0.47,0.0,2019,2670
3.0,223.0,9.837,6.334,1.0,2019,2116
4.0,477.0,9.423,4.793,10.0,2019,344
6.0,289.0,1.63,0.467,1.0,2019,2335
5.0,253.0,11.328,6.452,7.0,2019,259
3.0,330.0,3.923,3.044,6.0,2019,139
8.0,430.0,8.173,4.527,8.0,2019,120
2.0,134.0,6.728,2.223,2.0,2019,99
20.0,310.0,-3.329,-3.347,1.0,2019,43
1.0,235.0,14.239,7.957,8.0,2019,97
6.0,130.0,8.14,6.761,1.0,2019,135
4.0,153.0,0.028,0.971,0.0,2019,71
9.0,199.0,3.304,-2.071,5.0,2019,314
1.0,107.0,1.45,-1.63,0.0,2019,328
2.0,52.0,11.417,7.607,0.0,2019,264
2.0,79.0,7.347,-1.577,1.0,2019,166
16.0,680.0,16.35,7.012,20.0,2019,2305
13.0,224.0,0.238,-0.268,1.0,2019,111
4.0,187.0,10.061,3.63,3.0,2019,66
2.0,159.0,7.748,4.125,4.0,2019,194
5.0,541.0,12.405,5.797,15.0,2019,248
8.0,392.0,-0.636,-2.519,3.0,2019,2247
17.0,299.0,-2.867,-2.709,4.0,2019,2747
9.0,215.0,7.278,5.218,3.0,2019,2550
10.0,750.0,16.768,6.321,19.0,2019,96
6.0,90.0,-12.273,-6.542,0.0,2019,2000
6.0,111.0,-5.813,-4.653,0.0,2019,2241
1.0,423.0,2.521,-0.511,5.0,2019,145
8.0,639.0,10.655,7.249,18.0,2019,201
4.0,80.0,15.27,9.828,2.0,2019,275
9.0,645.0,9.356,4.614,13.0,2019,2483
7.0,463.0,12.403,7.208,12.0,2019,2306
9.0,188.0,0.997,-1.038,1.0,2019,300
18.0,570.0,11.04,4.655,15.0,2019,222
18.0,414.0,9.341,1.959,6.0,2019,2608
14.0,346.0,14.757,7.791,11.0,2019,2509
6.0,497.0,2.555,0.424,7.0,2019,295
13.0,365.0,10.959,4.234,10.0,2019,2132
9.0,425.0,3.483,0.808,8.0,2019,2294
4.0,692.0,14.726,7.939,23.0,2019,2633
8.0,114.0,-6.219,-4.206,0.0,2019,2142
6.0,81.0,-10.023,-5.855,1.0,2019,161
4.0,57.0,-12.348,-8.045,0.0,2019,2504
4.0,59.0,5.68,8.13,0.0,2019,2599
4.0,115.0,8.077,4.688,2.0,2019,9
43.0,1047.0,15.397,6.999,33.0,2019,183
16.0,338.0,11.007,7.344,7.0,2019,239
5.0,97.0,11.456,7.97,1.0,2019,269
4.0,87.0,2.798,-3.528,1.0,2019,93
17.0,556.0,9.775,7.396,9.0,2019,52
8.0,193.0,2.691,-4.384,2.0,2019,261
4.0,96.0,6.453,0.69,2.0,2019,2084
4.0,82.0,2.596,-0.38,1.0,2019,94
4.0,110.0,10.945,2.858,2.0,2019,2440
4.0,190.0,11.272,4.461,2.0,2019,57
12.0,571.0,9.298,5.11,12.0,2019,130
5.0,109.0,0.53,-3.876,1.0,2019,149
18.0,392.0,12.215,7.441,8.0,2021,239
22.0,630.0,17.265,3.746,20.0,2021,2250
7.0,592.0,12.88,5.799,16.0,2021,248
2.0,406.0,11.193,4.851,11.0,2021,26
4.0,180.0,12.228,4.504,4.0,2021,356
2.0,42.0,19.97,11.21,0.0,2021,130
3.0,352.0,-0.445,-0.525,3.0,2021,2640
4.0,174.0,8.812,3.71,3.0,2021,99
14.0,327.0,-0.147,-1.055,2.0,2021,179
11.0,285.0,7.872,4.554,4.0,2021,38
4.0,62.0,8.618,7.64,0.0,2021,46
19.0,600.0,10.225,7.457,10.0,2021,52
10.0,185.0,-2.746,-3.198,1.0,2021,2430
2.0,121.0,4.9,0.6,0.0,2021,252
6.0,272.0,12.807,7.169,7.0,2021,251
8.0,134.0,-8.78,-6.561,1.0,2021,2000
3.0,201.0,6.818,2.973,2.0,2021,41
10.0,471.0,8.843,5.11,9.0,2021,120
2.0,138.0,9.418,3.482,3.0,2021,333
1.0,782.0,15.424,5.646,21.0,2021,314
5.0,163.0,-6.712,-4.839,0.0,2021,2182
10.0,293.0,2.194,0.511,1.0,2021,2350
5.0,249.0,10.09,5.777,4.0,2021,59
6.0,727.0,14.685,7.965,24.0,2021,2633
7.0,271.0,2.701,1.143,4.0,2021,204
4.0,72.0,11.55,10.235,0.0,2021,197
8.0,342.0,1.98,-0.376,2.0,2021,2335
4.0,96.0,12.565,3.325,1.0,2021,21
45.0,1083.0,15.281,7.04,34.0,2021,183
14.0,828.0,14.76,5.971,24.0,2021,277
5.0,69.0,-6.778,-3.254,0.0,2021,2413
11.0,368.0,8.231,3.937,5.0,2021,228
5.0,272.0,0.217,-1.032,1.0,2021,164
2.0,30.0,-8.14,-3.635,0.0,2021,325
11.0,157.0,-8.578,-5.468,0.0,2021,42
18.0,903.0,20.937,9.51,29.0,2021,153
6.0,119.0,15.708,10.365,3.0,2021,275
20.0,612.0,11.493,5.022,16.0,2021,222
9.0,186.0,-1.961,-5.936,1.0,2021,2737
16.0,380.0,14.894,8.168,12.0,2021,2509
4.0,99.0,3.336,-0.66,0.0,2021,249
5.0,142.0,16.137,6.82,3.0,2021,2641
3.0,153.0,4.557,-0.399,1.0,2021,328
2.0,155.0,12.507,4.313,3.0,2021,8
10.0,153.0,-3.462,-4.118,1.0,2021,2142
6.0,224.0,11.882,5.461,3.0,2021,57
2.0,330.0,-1.47,-1.757,5.0,2021,259
4.0,201.0,9.96,5.543,5.0,2021,194
4.0,57.0,-3.028,-0.62,0.0,2021,198
8.0,142.0,-8.381,-8.206,0.0,2021,2450
10.0,674.0,10.818,7.392,19.0,2021,201
4.0,252.0,9.597,6.251,3.0,2021,142
11.0,402.0,9.833,5.882,8.0,2021,156
4.0,142.0,-2.663,-3.886,0.0,2021,2540
12.0,364.0,15.938,7.588,9.0,2021,258
2.0,89.0,-1.134,-2.842,0.0,2021,195
8.0,198.0,8.34,5.355,3.0,2021,30
3.0,70.0,4.123,-0.177,0.0,2021,2181
18.0,729.0,16.62,7.293,21.0,2021,2305
4.0,75.0,-0.19,-2.668,0.0,2021,331
11.0,690.0,9.846,4.911,14.0,2021,2483
4.0,127.0,3.617,0.927,1.0,2021,2670
11.0,467.0,4.703,1.586,9.0,2021,2294
1.0,181.0,6.207,2.43,3.0,2021,2253
19.0,763.0,16.815,7.431,22.0,2022,2305
42.0,1202.0,18.462,7.891,35.0,2022,150
1.0,29.0,15.5,8.89,0.0,2022,153
21.0,642.0,11.772,5.21,17.0,2022,222
1.0,33.0,22.75,6.84,0.0,2022,12
19.0,419.0,12.69,7.507,9.0,2022,239
23.0,658.0,17.621,3.779,21.0,2022,2250
9.0,166.0,-7.884,-8.328,1.0,2022,2450
1.0,291.0,12.695,7.307,8.0,2022,269
21.0,480.0,9.68,2.549,7.0,2022,2608
1.0,21.0,12.71,8.08,0.0,2022,84
3.0,433.0,11.619,5.035,12.0,2022,26
5.0,274.0,4.969,2.296,3.0,2022,2006
1.0,164.0,16.261,7.113,4.0,2022,251
3.0,353.0,-0.672,-1.346,6.0,2022,259
17.0,409.0,15.131,8.172,13.0,2022,2509
23.0,352.0,-2.73,-3.172,2.0,2022,43
7.0,154.0,2.884,-4.494,2.0,2022,93
3.0,57.0,9.56,4.307,0.0,2022,2539
13.0,810.0,16.706,6.588,20.0,2022,96
4.0,64.0,-4.585,-4.992,0.0,2022,2612
4.0,371.0,-0.581,-0.797,4.0,2022,2640
5.0,119.0,12.678,3.83,2.0,2022,21
12.0,425.0,9.905,6.008,9.0,2022,156
12.0,493.0,5.249,1.789,10.0,2022,2294
17.0,330.0,4.702,2.881,2.0,2022,257
11.0,313.0,6.718,4.642,5.0,2022,2507
3.0,68.0,4.053,-3.353,0.0,2022,2571
1.0,145.0,-11.11,-6.281,0.0,2022,99
1.0,121.0,4.692,1.553,2.0,2022,66
7.0,144.0,15.34,10.193,4.0,2022,275
11.0,176.0,-3.058,-4.323,2.0,2022,2142
9.0,224.0,8.718,5.422,4.0,2022,30
11.0,668.0,5.216,2.323,9.0,2022,2390
8.0,397.0,11.688,6.631,10.0,2022,2
6.0,208.0,-1.635,-3.006,3.0,2022,55
6.0,298.0,1.411,-3.427,4.0,2022,2750
12.0,270.0,8.53,6.041,4.0,2022,2550
6.0,445.0,14.722,8.006,12.0,2022,2628
8.0,624.0,13.213,5.822,17.0,2022,248
2.0,315.0,9.629,5.073,2.0,2022,5
5.0,203.0,12.723,5.057,5.0,2022,356
5.0,87.0,-2.798,-2.114,0.0,2022,236
4.0,156.0,-0.412,-0.781,0.0,2022,36
3.0,61.0,18.067,11.147,1.0,2022,130
7.0,754.0,14.85,8.021,25.0,2022,2633
4.0,68.0,-7.29,-7.11,0.0,2022,2344
5.0,221.0,10.343,5.865,6.0,2022,194
1.0,25.0,13.39,2.93,0.0,2022,2350
6.0,95.0,-5.202,-3.317,0.0,2022,48
3.0,111.0,-2.261,-2.299,1.0,2022,2247
12.0,244.0,7.922,2.908,2.0,2022,68
4.0,85.0,12.835,5.538,0.0,2022,235
4.0,224.0,7.617,3.298,3.0,2022,41
5.0,143.0,5.342,-2.137,2.0,2022,166
3.0,183.0,13.044,4.929,4.0,2022,8
11.0,257.0,3.4,-4.838,3.0,2022,261
3.0,157.0,10.161,4.64,4.0,2022,333
22.0,571.0,10.845,5.056,14.0,2022,87
1.0,71.0,-4.013,0.383,0.0,2022,2641
3.0,56.0,-3.63,-4.15,0.0,2022,147
27.0,666.0,17.438,9.376,23.0,2022,127
33.0,634.0,1.882,-1.528,9.0,2022,2166
9.0,121.0,-5.078,-2.074,1.0,2022,2239
5.0,255.0,8.796,3.699,4.0,2023,41
5.0,101.0,2.284,-1.494,0.0,2023,2226
12.0,697.0,5.453,2.445,10.0,2023,2390
6.0,151.0,13.2,4.678,3.0,2023,21
4.0,188.0,11.79,5.266,5.0,2023,333
9.0,657.0,13.513,5.788,18.0,2023,248
20.0,787.0,16.895,7.578,23.0,2023,2305
18.0,438.0,15.294,8.179,14.0,2023,2509
1.0,21.0,-8.98,-9.83,0.0,2023,161
5.0,111.0,13.168,5.81,1.0,2023,235
1.0,27.0,15.83,7.44,0.0,2023,150
6.0,106.0,-0.733,-1.635,1.0,2023,198
8.0,779.0,15.016,8.02,26.0,2023,2633
13.0,472.0,-2.183,-3.836,3.0,2023,309
14.0,832.0,16.644,6.636,21.0,2023,96
12.0,334.0,7.081,4.755,6.0,2023,2507
1.0,26.0,15.79,9.48,0.0,2023,2306
4.0,81.0,-2.177,-3.47,1.0,2023,147
28.0,687.0,17.324,9.442,24.0,2023,127
10.0,246.0,9.08,5.637,5.0,2023,30
2.0,320.0,13.008,7.357,9.0,2023,269
12.0,280.0,3.252,-4.696,4.0,2023,261
4.0,250.0,2.746,-0.129,1.0,2023,94
13.0,512.0,5.576,2.044,11.0,2023,2294
9.0,418.0,11.828,6.771,11.0,2023,2
5.0,122.0,5.51,-0.126,1.0,2023,2181
2.0,44.0,13.825,8.48,1.0,2023,84
12.0,247.0,1.257,-1.318,1.0,2023,2309
2.0,140.0,6.216,2.816,3.0,2023,66
5.0,250.0,7.334,4.543,3.0,2023,221
1.0,449.0,15.271,6.433,11.0,2023,2752
4.0,45.0,-10.165,-2.745,0.0,2023,338
4.0,329.0,10.609,6.505,8.0,2023,245
2.0,37.0,10.88,9.06,0.0,2023,213
2.0,171.0,16.799,7.528,5.0,2023,251
12.0,202.0,-2.62,-4.451,3.0,2023,2142
2.0,47.0,-4.675,-8.06,1.0,2023,357
1.0,292.0,8.908,6.185,5.0,2023,120
16.0,863.0,14.672,6.226,25.0,2023,277
2.0,234.0,-0.794,-5.334,2.0,2023,232
14.0,410.0,15.366,7.435,10.0,2023,258
6.0,139.0,5.96,-2.12,0.0,2023,231
13.0,449.0,10.265,6.18,10.0,2023,156
6.0,185.0,8.617,4.041,3.0,2023,152
20.0,442.0,12.91,7.651,10.0,2023,239
6.0,186.0,-1.551,-3.736,1.0,2023,2540
1.0,75.0,-1.663,-1.505,1.0,2023,142
2.0,149.0,0.695,-1.75,1.0,2023,328
2.0,61.0,20.915,7.59,1.0,2023,12
12.0,208.0,1.995,-1.889,1.0,2023,163
4.0,43.0,-11.985,-6.04,0.0,2023,47
4.0,205.0,13.412,5.546,5.0,2023,8
6.0,223.0,12.932,5.316,6.0,2023,356
22.0,507.0,10.031,2.759,8.0,2023,2608
6.0,176.0,5.004,1.512,2.0,2023,2670
3.0,834.0,14.917,5.212,22.0,2023,314
7.0,467.0,14.766,8.045,13.0,2023,2628
8.0,183.0,8.633,6.413,3.0,2023,9
24.0,689.0,17.678,3.956,22.0,2023,2250
3.0,228.0,6.009,1.87,4.0,2023,2253
10.0,155.0,9.226,8.394,1.0,2023,77
13.0,268.0,8.295,3.162,3.0,2023,68
4.0,464.0,12.144,5.216,13.0,2023,26
5.0,73.0,-8.674,-5.576,0.0,2023,2427
6.0,292.0,10.075,4.056,5.0,2024,41
5.0,213.0,12.779,5.992,6.0,2024,333
7.0,211.0,9.036,4.53,4.0,2024,152
19.0,472.0,15.776,8.35,15.0,2024,2509
10.0,689.0,13.906,5.917,19.0,2024,248
3.0,78.0,16.6,8.817,1.0,2024,153
5.0,233.0,-1.014,0.109,0.0,2024,56
6.0,126.0,4.113,-0.477,1.0,2024,2226
11.0,177.0,9.548,8.404,2.0,2024,77
7.0,177.0,13.411,5.206,4.0,2024,21
4.0,367.0,9.444,4.796,3.0,2024,5
10.0,445.0,12.36,6.815,12.0,2024,2
25.0,396.0,-1.984,-2.958,3.0,2024,43
5.0,187.0,7.579,2.454,1.0,2024,252
7.0,441.0,2.869,-0.049,3.0,2024,2184
7.0,252.0,13.535,5.7,7.0,2024,356
8.0,140.0,-4.961,-3.786,1.0,2024,2413
5.0,258.0,4.127,1.336,0.0,2024,265
6.0,150.0,6.438,0.202,2.0,2024,2181
3.0,169.0,8.226,3.528,4.0,2024,66
5.0,109.0,2.172,-2.966,1.0,2024,2571
7.0,120.0,-10.767,-8.709,0.0,2024,2755
1.0,109.0,0.57,-1.718,2.0,2024,328
8.0,488.0,14.759,8.01,14.0,2024,2628
25.0,716.0,17.688,3.959,23.0,2024,2250
1.0,226.0,9.437,3.117,5.0,2024,2377
21.0,810.0,16.877,7.699,24.0,2024,2305
4.0,77.0,-1.28,-2.745,0.0,2024,2535
2.0,124.0,-0.756,0.273,1.0,2024,2579
14.0,755.0,10.033,5.246,15.0,2024,2483
14.0,474.0,10.692,6.326,11.0,2024,156
7.0,320.0,4.783,1.776,4.0,2024,2006
2.0,206.0,4.147,3.133,2.0,2024,251
6.0,196.0,1.394,0.555,1.0,2024,36
9.0,806.0,15.2,8.085,27.0,2024,2633
2.0,198.0,-6.863,-6.815,0.0,2024,2612
6.0,109.0,-5.492,-6.592,1.0,2024,2344
5.0,178.0,10.611,8.477,4.0,2024,158
5.0,350.0,10.771,6.671,9.0,2024,245
9.0,186.0,14.93,10.221,5.0,2024,275
4.0,213.0,-0.665,-3.055,0.0,2024,256
2.0,54.0,18.25,7.9,1.0,2024,150
13.0,308.0,3.216,-4.589,5.0,2024,261
1.0,178.0,6.416,1.221,1.0,2024,2641
15.0,855.0,16.648,6.662,22.0,2024,96
25.0,437.0,-1.6,-1.554,3.0,2024,2473
2.0,97.0,10.95,5.998,1.0,2024,57
14.0,350.0,8.656,5.097,5.0,2024,38
3.0,347.0,13.425,7.601,10.0,2024,269
1.0,69.0,-2.72,-6.343,2.0,2024,98
2.0,32.0,-11.225,-9.715,0.0,2024,2681
2.0,185.0,7.209,0.379,4.0,2024,344
29.0,707.0,17.338,9.492,25.0,2024,127
23.0,533.0,10.304,2.79,9.0,2024,2608
4.0,258.0,6.379,1.671,5.0,2024,2253
3.0,261.0,-0.387,-5.087,3.0,2024,232
14.0,432.0,8.759,4.312,6.0,2024,228
3.0,220.0,9.293,7.128,2.0,2024,167
21.0,466.0,13.21,7.79,11.0,2024,239
13.0,227.0,-2.442,-4.535,4.0,2024,2142
7.0,342.0,9.851,3.836,3.0,2024,2168
5.0,605.0,11.101,5.935,12.0,2024,2440
3.0,88.0,22.123,8.21,2.0,2024,12
17.0,445.0,2.153,2.789,3.0,2024,299
